,Event.Id,Investigation.Type,Event.Date,Location,Injury.Severity,Aircraft.damage,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Num.Passenger,Total.Injured,Percent.Serious.and.Fatal,Percent.Uninjured,Make.Model
68493,20100624X81358,Accident,2010-07-08,"Rancho Murieta, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,A total loss of engine power in flight due to fuel exhaustion as a result of the pilot's inadequate fuel planning.,1.0,0.0,0.0,100.0,cessna172F
68497,20100710X70251,Accident,2010-07-09,"Goddard, KS",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,"The pilot did not maintain airspeed during takeoff, which resulted in an aerodynamic stall. Contributing to the accident was the pilots poor preflight planning.",1.0,1.0,0.0,0.0,cessna172
68500,20100712X73647,Accident,2010-07-09,"Houston, TX",Non-Fatal,Substantial,cessna,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,,"The failure of a hydraulic fluid line, which caused a loss of hydraulic pressure to the landing gear extension system and resulted in the partial collapse of the right main landing gear during touchdown.",1.0,0.0,0.0,100.0,cessna210
68507,20100712X62225,Accident,2010-07-10,"Franklin, IN",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's improper touchdown point and excessive braking, which resulted in a nose over.",1.0,0.0,0.0,100.0,cessna140
68510,20100716X53446,Accident,2010-07-10,"Boyne City, MI",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to attain the proper touchdown point and delayed go-around.,2.0,0.0,0.0,100.0,cessna172K
68512,20100717X14523,Accident,2010-07-10,"Santa Fe, NM",Non-Fatal,Substantial,aeronca,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control of the airplane while landing with gusting winds.,1.0,0.0,0.0,100.0,aeronca7AC
68514,20100712X81830,Accident,2010-07-11,"Chino, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilots inadequate fuel planning which resulted in a loss of engine power during cruise flight due to fuel exhaustion.,1.0,0.0,0.0,100.0,cessna177
68516,20100713X43713,Accident,2010-07-11,"LaGrange, GA",Non-Fatal,Substantial,beech,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot not allowing sufficient time for fuel spill vapors to dissipate before starting the engine. Contributing to the accident was the inadequate maintenance of the fuel cap.,1.0,0.0,0.0,100.0,beech58
68517,20100715X13927,Accident,2010-07-11,"Sarasota, FL",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,,The pilot's loss of directional control during the takeoff roll.,4.0,0.0,0.0,100.0,piperPA28R
68521,20100712X94607,Accident,2010-07-12,"Owasso, OK",Fatal,Substantial,cessna,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,,"The pilots failure to maintain adequate airspeed during an engine-out approach to the runway, resulting in an aerodynamic stall and spin. Contributing to the accident was the pilots inadequate preflight planning, which resulted in a loss of engine power due to fuel exhaustion.",3.0,3.0,100.0,0.0,cessna177B
68522,20100713X20600,Accident,2010-07-12,"Kakhonak, AK",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's decision to take off in unfavorable wind conditions.,2.0,0.0,0.0,100.0,cessna180J
68523,20100713X23333,Accident,2010-07-12,"Palmer, AK",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,The pilot's decision to fly towards rising terrain that exceeded the climb capability of the airplane.,3.0,0.0,0.0,100.0,cessna172N
68525,20100714X15636,Accident,2010-07-13,"Fairhope, AL",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain directional control during a crosswind takeoff.,1.0,0.0,0.0,100.0,cessna172
68526,20100714X50804,Accident,2010-07-13,"St. Ignace, MI",Fatal,Substantial,beech,2.0,Reciprocating,Personal,4.0,0.0,1.0,0.0,VMC,,The pilot's failure to maintain aircraft control during takeoff for undetermined reasons.,5.0,5.0,80.0,0.0,beech58
68530,20100714X05907,Accident,2010-07-14,"Truckee, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilots failure to maintain directional control during an aborted landing, resulting in a collision with obstacles.",1.0,0.0,0.0,100.0,cessna170
68534,20100720X25208,Accident,2010-07-14,"Krum, TX",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,A total loss of engine power in flight due to carburetor icing.,2.0,2.0,100.0,0.0,piperJ3C-65
68536,20100715X04443,Accident,2010-07-15,"Las Vegas, NV",Non-Fatal,,beech,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,,The passenger's failure to maintain clearance from a turning propeller. Contributing to the accident was the pilot's inadequate preflight inspection.,2.0,1.0,0.0,50.0,beechA36
68543,20100719X80209,Accident,2010-07-15,"Pacific Ocean,",Non-Fatal,,boeing,2.0,,,0.0,0.0,1.0,201.0,VMC,,an inadvertent encounter with clear air turbulence.,202.0,1.0,0.0,99.5049504950495,boeing767
68544,20100720X44654,Accident,2010-07-15,"St. Petersburg, FL",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,,The pilot's loss of directional control while taking off with a crosswind.,5.0,0.0,0.0,100.0,piperPA-32R-300
68555,20100725X22158,Accident,2010-07-17,"Crisfield, MD",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,,"The pilot's delayed decision to abort the takeoff, which resulted in a runway excursion.",4.0,0.0,0.0,100.0,cessna182
68557,20100718X92742,Accident,2010-07-18,"Phoenix, AZ",Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,A loss of engine power during descent due to fuel starvation that resulted from the pilot's mismanagement of the fuel system.,1.0,1.0,0.0,0.0,beechA36
68560,20100719X63453,Accident,2010-07-18,"New Stuyahok, AK",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's selection of unsuitable terrain for takeoff, resulting in a collision with trees.",2.0,0.0,0.0,100.0,cessna172P
68562,20100726X85651,Accident,2010-07-18,"Coeur d'Alene, ID",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,,The pilot's inadequate compensation for a wind gust during the landing roll.,1.0,0.0,0.0,100.0,cessnaA185F
68572,20100721X42616,Accident,2010-07-19,"Clyde, OH",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC,,The pilot's failure to maintain clearance from a grain auger during aerial application maneuvers.,1.0,1.0,0.0,0.0,cessnaA188B
68574,20100721X04940,Accident,2010-07-20,"New Bern, NC",Non-Fatal,Substantial,piper,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,2.0,VMC,,"Inadequate quality control at the fuel servo overhaul facility, which resulted in contamination of the fuel servo and a subsequent loss of engine power due to fuel starvation.",2.0,0.0,0.0,100.0,piperPA-28R-200
68575,20100721X52136,Accident,2010-07-20,"Indian Head, MD",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The pilot's loss of control while landing in gusting crosswind conditions.,1.0,0.0,0.0,100.0,cessna152
68577,20110225X03247,Accident,2010-07-20,"Randolph, NY",Non-Fatal,Substantial,aeronca,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,"The certified flight instructor's delayed response to the student pilot's loss of directional control during takeoff, which resulted in a runway excursion and collision with a building.",2.0,0.0,0.0,100.0,aeronca11AC
68580,20100722X42016,Accident,2010-07-22,"Bend, OR",Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's inadequate compensation for a wind gust during the landing flare, which resulted in a hard landing.",1.0,0.0,0.0,100.0,beechV35
68582,20100723X31435,Accident,2010-07-22,"Knoxville, TN",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's improper recovery from a bounced landing.,1.0,0.0,0.0,100.0,cessna150M
68585,20100824X84240,Incident,2010-07-22,"Taipei, Taiwan (Province of China)",Non-Fatal,Minor,boeing,2.0,,,0.0,0.0,0.0,96.0,,,,96.0,0.0,0.0,100.0,boeing737
68588,20100724X22559,Accident,2010-07-23,"Palmer, AK",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,,The pilot's decision to make a low-altitude pass over a remote airstrip toward rising terrain in weather conducive to downdrafts.,2.0,2.0,50.0,0.0,cessna170B
68593,20100726X85451,Accident,2010-07-23,"Ephrata, WA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain clearance from a fire hydrant while taxiing to the runway.,2.0,0.0,0.0,100.0,cessna152
68595,20100929X44623,Incident,2010-07-23,"Milan, Italy",Non-Fatal,,boeing,2.0,,,0.0,0.0,0.0,6.0,,,<br /><br />,6.0,0.0,0.0,100.0,boeing737
68596,20100724X41324,Accident,2010-07-24,"Davant, LA",Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,1.0,0.0,0.0,1.0,VMC,,"The pilots improper application of the flight controls and throttle during landing, which resulted in a nose over and subsequent inverted immersion in the water. Contributing to the accident was the flight instructors delayed remedial action and inadequate supervision of the pilot receiving instruction.",2.0,1.0,50.0,50.0,cessna180
68599,20100725X04447,Accident,2010-07-24,"Spearfish, SD",Fatal,Substantial,piper,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,,"The pilots improper fuel management, which resulted in a loss of engine power due to fuel starvation.",2.0,2.0,100.0,0.0,piperPA-28-151
68603,20100727X15215,Accident,2010-07-24,"Waynesboro, VA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,The pilot's failure to follow the short-field takeoff procedures published in the Pilot's Operating Handbook.,3.0,0.0,0.0,100.0,cessna172N
68604,20100804X93715,Accident,2010-07-24,"White Plains, NY",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,The student pilot's improper landing flare and the flight instructor's delayed remedial action resulting in a bounced landing.,2.0,0.0,0.0,100.0,cessna172
68609,20100928X85552,Accident,2010-07-25,"Santa Maria, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's inadequate flare which resulted in a bounce and hard landing.,1.0,0.0,0.0,100.0,cessna172S
68621,20100728X61329,Accident,2010-07-27,"Shirley, NY",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The student pilots improper recovery from a bounced landing.,1.0,0.0,0.0,100.0,cessna152
68624,20100729X84620,Accident,2010-07-27,"Stonington, ME",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control during a crosswind landing.,2.0,0.0,0.0,100.0,cessna172N
68629,20100728X55008,Accident,2010-07-28,"Walla Walla, WA",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,"The pilot's partial incapacitation during cruise flight and his subsequent inadequate fuel management, which resulted in fuel starvation.",1.0,1.0,0.0,0.0,piperPA-28-180
68642,20100805X95630,Accident,2010-07-29,"Shell Lake, WI",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The collision with the deer during landing roll.,2.0,0.0,0.0,100.0,cessnaT210M
68648,20100806X15526,Accident,2010-07-30,"Perry, GA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain clearance from a pole while taxiing.,2.0,0.0,0.0,100.0,cessna172N
68649,20100810X85131,Accident,2010-07-30,"Breckenridge, MI",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to mantain directional control during the aborted landing.,1.0,0.0,0.0,100.0,cessna152
68652,20100731X30316,Accident,2010-07-31,"Rawlins, WY",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's inadequate preflight planning, failure to properly use the takeoff checklist, and failure to lean the fuel mixture, which resulted in the airplanes inability to attain sufficient airspeed due to the rich fuel mixture.",2.0,0.0,0.0,100.0,cessna177
68656,20100802X61351,Accident,2010-07-31,"Elk Creek, VA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,,"The student pilots continued visual flight into instrument meteorological conditions, which resulted in an off-airport landing.",2.0,0.0,0.0,100.0,cessna172N
68659,20100801X44230,Accident,2010-08-01,"Santa Fe, NM",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,A total loss of engine power following a loss of oil pressure for undetermined reasons.,2.0,0.0,0.0,100.0,cessna172P
68660,20100801X72656,Accident,2010-08-01,"Middleberry, VT",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,The pilots delayed decision to abort the takeoff.,2.0,2.0,100.0,0.0,cessna177B
68661,20100801X85218,Accident,2010-08-01,"Newfane, NY",Fatal,Substantial,cessna,1.0,Reciprocating,Skydiving,1.0,5.0,0.0,0.0,VMC,,"The pilot's failure to maintain aircraft control due to his diverted attention, which resulted in a collision with trees during the initial climb after takeoff. Contributing to the accident was the passenger's attempt to secure the jump door after it opened during takeoff.",6.0,6.0,100.0,0.0,cessnaA185F
68662,20100801X90445,Accident,2010-08-01,"Rockwood, ME",Fatal,Substantial,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,,The pilot's failure to retract the landing gear prior to a water landing. Contributing to the accident was the pilot's impairment due to medication.,2.0,1.0,50.0,50.0,cessnaA185F
68666,20101014X55320,Accident,2010-08-01,"Newton, KS",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,2.0,VMC,,"The pilots inadequate flare, which resulted in a hard landing.",3.0,1.0,33.33333333333333,66.66666666666666,cessna172M
68668,20100802X12158,Accident,2010-08-02,"Wild Rose, WI",Non-Fatal,Substantial,piper,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,,The pilot's loss of directional control during the takeoff roll.,1.0,0.0,0.0,100.0,piperPA-12
68670,20100802X84006,Accident,2010-08-02,"White Sulphur Springs, MT",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilots loss of directional control while attempting to avoid a herd of antelope crossing the runway during the landing rollout.,1.0,0.0,0.0,100.0,piperPA-12
68671,20100803X41255,Accident,2010-08-02,"Mashpee, MA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilots delayed use of carburetor heat while flying at reduced power settings in conditions that were favorable for carburetor icing resulting in the partial loss of engine power.,2.0,0.0,0.0,100.0,cessna177B
68676,20100803X34621,Accident,2010-08-03,"Blossvale, NY",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,A total loss of engine power for undetermined reasons.,2.0,2.0,100.0,0.0,piperPA-28-161
68678,20100804X02630,Accident,2010-08-04,"Phoenix, AZ",Fatal,Substantial,cirrus design corp,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,The pilots failure to maintain airspeed and airplane control during a turn from the base leg to final approach due to his diverted attention.,1.0,1.0,100.0,0.0,cirrus design corpSR22
68689,20100811X93652,Accident,2010-08-05,"Watkins, CO",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain aircraft control during the landing, resulting in a ground-loop.",1.0,0.0,0.0,100.0,piperPA-18-150
68692,20100806X20456,Accident,2010-08-06,"Roche Harbor, WA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,2.0,0.0,1.0,VMC,,"The pilots failure to attain an adequate climb airspeed due to his use of flaps for takeoff, and his selection of a runway, which resulted in an uphill, and possibly downwind, takeoff and subsequent collision with a known obstacle. Contributing to the accident was the operator's cockpit checklist that did not accurately reflect the manufacturer's takeoff procedures.",3.0,2.0,66.66666666666666,33.33333333333333,cessna172
68694,20100427X23139,Accident,2010-08-07,"Glenwood, NM",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's decision to attempt a takeoff from an unimproved airstrip with a high density altitude.,1.0,0.0,0.0,100.0,piperPA-28-140
68695,20100807X23643,Accident,2010-08-07,"Saltsburg, PA",Fatal,Substantial,beech,2.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,,"The pilots loss of control of the airplane during low-airspeed airwork and his failure to promptly recover the airplane from the aerodynamic stall, which resulted in a spin. Contributing to the accident were the pilot and certified flight instructors intentional operation of the airplane for the purpose of performing instructional airwork with only a throw-over control yoke installed and the pilots lack of recent flight experience in the airplane make and model. Contributing to the lack of accurate performance data (including the air minimum control airspeed) for the modified airplane was the lack of guidance by the Federal Aviation Administration for an installer of a supplemental type certificate (STC) modification to determine the interrelationship between all STCs incorporated into an aircraft.",2.0,2.0,100.0,0.0,beech58
68699,20100808X42452,Accident,2010-08-08,"Chattanooga, TN",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,The student pilot's improper execution of the go-around procedure.,2.0,1.0,50.0,50.0,cessna172
68703,20100809X52829,Accident,2010-08-08,"Livermore, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilots failure to maintain aircraft control during final approach, resulting in a hard landing.",2.0,0.0,0.0,100.0,cessna152
68705,20100809X53916,Accident,2010-08-08,"San Jose, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilots improper flare and inadequate recovery from a bounced landing.,1.0,0.0,0.0,100.0,cessna172P
68709,20100824X32042,Accident,2010-08-08,"Chickaloon, AK",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,2.0,0.0,3.0,IMC,,"The pilot's continued visual flight into instrument meteorological conditions, resulting in an in-flight collision with terrain.",5.0,2.0,40.0,60.0,piperPA-32-260
68711,20100901X85159,Accident,2010-08-08,"San Jose, Philippines",Non-Fatal,Substantial,piper,,Reciprocating,,0.0,0.0,0.0,1.0,,,,1.0,0.0,0.0,100.0,piperPA-28
68713,20100810X00613,Accident,2010-08-09,"Marshfield, MA",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain clearance from a vehicle while taxiing. Contributing to the accident was his inadequate visual lookout.,2.0,0.0,0.0,100.0,piperPA28
68715,20100810X21239,Accident,2010-08-09,"Salt Lake City, UT",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,The pilots failure to maintain aircraft control during the landing roll.,2.0,1.0,50.0,50.0,cessna170
68721,20100810X91502,Accident,2010-08-10,"Eastman, GA",Non-Fatal,Substantial,piper,2.0,Reciprocating,Instructional,0.0,3.0,0.0,0.0,VMC,,Both pilots failure to use emergency checklist procedures for restarting the engine after the loss of engine power due to fuel starvation.,3.0,3.0,100.0,0.0,piperPA-44-180
68723,20100811X22408,Accident,2010-08-10,"Oxfordshire, United Kingdom",Non-Fatal,Substantial,cirrus design corp,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,,,,2.0,0.0,0.0,100.0,cirrus design corpSR20
68725,20100810X34440,Accident,2010-08-11,"Orange, MA",Fatal,Substantial,cessna,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,,The pilots did not maintain control of the airplane during a flight in dark night conditions due to spatial disorientation.,2.0,2.0,100.0,0.0,cessna172
68727,20100811X41759,Accident,2010-08-11,"Aspen, CO",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control during takeoff in gusting crosswind conditions.,1.0,0.0,0.0,100.0,piperPA-18
68728,20100811X74728,Accident,2010-08-11,"Tracy, CA",Non-Fatal,Substantial,grumman,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,,A total loss of engine power while maneuvering due to an internal catastrophic failure to the master rod and piston connecting rod links.,1.0,0.0,0.0,100.0,grummanG164
68729,20100812X35943,Accident,2010-08-11,"Farmington, NM",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"Pre-existing damage of the through-bolt that attached the inboard end of the gear leg to the airframe hard-point, likely caused during maintenance on the gear.",1.0,0.0,0.0,100.0,cessnaA185F
68731,20100729X15222,Accident,2010-08-12,"Garberville, CA",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilots improper airspeed, misjudged approach, and failure to attain the proper touchdown point. Contributing to the accident was the pilots lack of familiarity with the airport.",1.0,0.0,0.0,100.0,piperPA-28-161
68733,20100812X92229,Accident,2010-08-12,"Winnfield, LA",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,A loss of engine power due to fuel exhaustion.,1.0,1.0,100.0,0.0,piperPA-28-180
68735,20100816X34132,Accident,2010-08-12,"McGrath, AK",Fatal,Substantial,piper,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,,"The pilots continued visual flight into instrument meteorological conditions and the airplanes subsequent aerodynamic stall, which resulted in an in-flight collision with mountainous terrain.",2.0,2.0,100.0,0.0,piperPA-18-150
68740,20100813X83253,Accident,2010-08-13,"Emigrant Gap, CA",Fatal,Substantial,piper,1.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,,The pilots failure to maintain sufficient altitude to clear terrain while maneuvering. Contributing to the accident was the flight instructors delayed remedial action.,2.0,2.0,100.0,0.0,piperPA28R
68741,20100813X91120,Accident,2010-08-13,"Wenden, AZ",Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,The pilots inadequate bounced landing recovery and failure to maintain directional control during landing.,2.0,1.0,50.0,50.0,beechC23
68743,20100817X35403,Accident,2010-08-13,"Put-in-Bay, OH",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,,A total loss of engine power while on final approach for undetermined reasons.,4.0,1.0,25.0,75.0,cessnaT210M
68747,20100815X42216,Accident,2010-08-14,"Compton, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,The pilot's failure to attain the proper touchdown point that resulted in an overrun of the runway and collision with a wall.,3.0,0.0,0.0,100.0,cessna182P
68751,20100815X75058,Accident,2010-08-14,"Key West, FL",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,"The non-instrument-rated pilot's spatial disorientation during night, over-water, low-ambient-light conditions, which resulted in the airplane impacting the ocean.",1.0,1.0,0.0,0.0,cessna172R
68752,20100815X81520,Accident,2010-08-14,"Harrison, ME",Fatal,Substantial,taylorcraft,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,,"The pilot's improper fuel management, which resulted in a total loss of engine power due to fuel exhaustion.",2.0,2.0,100.0,0.0,taylorcraftBC12-D
68753,20100816X22737,Accident,2010-08-14,"McCall, ID",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's delay in making the decision to abort the takeoff. Contributing to the accident was the condition of the takeoff surface, and the high density altitude.",2.0,0.0,0.0,100.0,cessnaT182T
68759,20100816X94947,Accident,2010-08-15,",",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,A total loss of engine power for undetermined reasons.,1.0,1.0,100.0,0.0,cessna172N
68762,20100816X23350,Accident,2010-08-16,"Douglas, WY",Non-Fatal,Substantial,bellanca,1.0,Reciprocating,Aerial Observation,0.0,0.0,2.0,0.0,VMC,,The pilot's failure to maintain clearance from the terrain while maneuvering during an aerial observation flight.,2.0,2.0,0.0,0.0,bellanca7GCBC
68764,20100816X82039,Accident,2010-08-16,"San Andres Island, Colombia",Fatal,Substantial,boeing,2.0,Turbo Fan,,1.0,67.0,17.0,42.0,,,,127.0,85.0,53.54330708661418,33.07086614173229,boeing737
68767,20100817X30617,Accident,2010-08-16,"Sacramento, CA",Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,A total loss of engine power during descent due to fuel exhaustion as a result of the pilot's failure to ensure that the fuel cap was secured during the preflight inspection.,1.0,0.0,0.0,100.0,beechV35B
68768,20100817X55115,Accident,2010-08-16,"Idabel, OK",Non-Fatal,Substantial,cirrus design corp,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,,A loss of engine power for undetermined reasons.,2.0,0.0,0.0,100.0,cirrus design corpSR22
68769,20100901X01739,Accident,2010-08-17,"Dulles, VA",Non-Fatal,,boeing,2.0,,,0.0,0.0,1.0,193.0,VMC,,an in-flight encounter with turbulence that resulted in an injury to a cabin attendant.,194.0,1.0,0.0,99.48453608247422,boeing767
68776,20100819X14206,Accident,2010-08-18,"Miami, FL",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilots' inadequate fuel planning, resulting in the loss of engine power due to fuel exhaustion.",2.0,0.0,0.0,100.0,cessna152
68778,20100825X95745,Accident,2010-08-18,"Mosby, MO",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,A partial loss of engine power for undetermined reasons during an en route climb.,2.0,0.0,0.0,100.0,cessna182T
68781,20100819X01006,Accident,2010-08-19,"Buena, WA",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,"The pilots excessive brake application, resulting in a nose over.",1.0,1.0,100.0,0.0,piperPA-18
68785,20100824X24158,Accident,2010-08-19,"Homer, AK",Non-Fatal,Substantial,cessna,1.0,Reciprocating,,0.0,0.0,0.0,4.0,VMC,,"The loss of engine power for an undetermined reason, resulting in an off-airport emergency landing and subsequent nose over.",4.0,0.0,0.0,100.0,cessnaU206G
68787,20100825X22300,Accident,2010-08-19,"Oakland, MD",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilots improper landing flare, which resulted in a hard landing.",1.0,0.0,0.0,100.0,piperPA-28-181
68789,20100820X42416,Accident,2010-08-20,"Hollywood, FL",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,A loss of engine power for undetermined reasons.,2.0,0.0,0.0,100.0,cessna152
