,Event.Id,Investigation.Type,Event.Date,Location,Latitude,Longitude,Injury.Severity,Aircraft.damage,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Num.Passenger,Total.Injured,Percent.Serious.and.Fatal,Percent.Uninjured,Make.Model
69464,20110208X20223,Accident,2011-01-19,IL,402918N,0894033W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,"The student pilot's failure to maintain adequate airspeed during the landing approach, which resulted in an aerodynamic stall.",1.0,1.0,0.0,0.0,piperPA-28-180
69465,20110123X10630,Accident,2011-01-20,CA,351414N,1203033W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The loss of engine power due to the fatigue fracture of one attachment bolt for the left idler gear shaft, which resulted from an insufficient preload on both attachment bolts.",1.0,0.0,0.0,100.0,piperPA-28-235
69470,20110225X41656,Accident,2011-01-21,IL,,,Non-Fatal,Substantial,cessna,1.0,Turbo Prop,,0.0,0.0,0.0,2.0,,,,2.0,0.0,0.0,100.0,cessna208B
69471,20110309X80510,Accident,2011-01-21,EA,,,Fatal,Substantial,cessna,,,Instructional,2.0,0.0,0.0,0.0,,,,2.0,2.0,100.0,0.0,cessna172
69472,20110123X12244,Accident,2011-01-22,WA,048824N,1221726W,Fatal,Substantial,cessna,1.0,Turbo Prop,Personal,1.0,0.0,0.0,1.0,VMC,,"The pilot did not confirm retraction of the landing gear before landing on water as a result of distraction. Contributing to the accident was the pilot coping with the death of a close family member in the days before the accident, which resulted in a self-reported disruption in the quality of sleep.",2.0,1.0,50.0,50.0,cessnaT206H
69474,20110125X13727,Accident,2011-01-22,TX,331024N,0963515W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,"The student pilot's loss of directional control during takeoff, which resulted in a runway excursion and impact with terrain.",1.0,0.0,0.0,100.0,cessna172S
69475,20110125X00915,Accident,2011-01-24,TX,032141N,0096242W,Non-Fatal,Substantial,aeronca,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The student pilots failure to maintain directional control during landing.,1.0,0.0,0.0,100.0,aeronca7AC
69476,20110125X21911,Accident,2011-01-24,AL,033547N,0871851W,Non-Fatal,Substantial,cirrus design corp,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's loss of directional control on a wet runway during takeoff from a touch and go landing resulting in a runway excursion.,2.0,0.0,0.0,100.0,cirrus design corpSR22
69477,20110125X43852,Accident,2011-01-24,PA,402917N,0801335W,Non-Fatal,Substantial,cirrus design corp,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilots excessive engine rpm and speed during taxi and subsequent braking, which resulted in a wheel brake fire.",2.0,0.0,0.0,100.0,cirrus design corpSR22
69478,20110125X31518,Accident,2011-01-25,AZ,343916N,1122511W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's loss of airplane control during the landing roll.,1.0,0.0,0.0,100.0,cessna180
69481,20110126X71311,Accident,2011-01-26,MT,463625N,1115858W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,The certified flight instructor's loss of airplane control during the landing roll in a gusting crosswind.,2.0,0.0,0.0,100.0,cessna180H
69484,20110127X52438,Accident,2011-01-26,TX,003407N,1004850W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,The loss of engine power during initial climb for undetermined reasons.,2.0,1.0,50.0,50.0,piperPA-28-235
69485,20110128X12409,Accident,2011-01-26,AL,312717N,0087212W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control during the landing rollout.,2.0,0.0,0.0,100.0,piperPA28
69486,20110209X23121,Accident,2011-01-27,LY,043270N,0012450E,Fatal,Substantial,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,,,1.0,1.0,100.0,0.0,cessna172
69487,20110128X23759,Accident,2011-01-28,TX,305410N,0952616W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilots inadequate preflight inspection to ensure the main tanks were full, which resulted in a total loss of engine power due to fuel starvation.",2.0,0.0,0.0,100.0,piperPA24
69489,20110201X13318,Accident,2011-01-28,FL,294727N,0825913W,Non-Fatal,Substantial,cirrus design corp,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,A total loss of engine power resulting from the failure of the camshaft due to fatigue cracks.  Contributing to the accident was the inadequate quality inspection of the camshaft after initial manufacture.,1.0,0.0,0.0,100.0,cirrus design corpSR22
69490,20110202X92618,Accident,2011-01-28,LA,322647N,0934932W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's loss of directional control during the landing.,1.0,0.0,0.0,100.0,cessna172R
69491,20110214X63834,Accident,2011-01-28,IL,232336S,0511355W,Fatal,Substantial,beech,2.0,,Unknown,3.0,0.0,0.0,0.0,,,,3.0,3.0,100.0,0.0,beech58
69493,20110131X43010,Accident,2011-01-29,CA,362150N,1165158W,Fatal,Substantial,mooney,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,"The magneto clamps were not securely fastened to the mount, which led to a partial loss of engine power and a subsequent forced landing on unsuitable terrain.",1.0,1.0,100.0,0.0,mooneyM20J
69497,20110202X33535,Accident,2011-01-29,GA,335219N,0084184W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's wrong turn while taxiing resulting in a collision with a sign.,1.0,0.0,0.0,100.0,piperPA-28-161
69498,20110202X50601,Accident,2011-01-29,FL,274532N,0823722W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain directional control while attempting to turn the airplane onto a taxiway after landing.,1.0,0.0,0.0,100.0,cessna172S
69499,20110202X53133,Accident,2011-01-29,CO,040233N,0107535W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilots loss of directional control while taxiing due to his improper seat position.,1.0,0.0,0.0,100.0,cessna182
69502,20110130X15517,Accident,2011-01-30,CA,341551N,1165036W,Non-Fatal,Substantial,piper,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,The pilots failure to maintain the minimum single-engine control speed while on final approach for landing. Contributing to the accident was the pilot's decision to fly with a known deficiency in one engine and a loss of power in that engine for reasons that could not be determined because postaccident examination did not reveal any mechanical failures or malfunctions that would have precluded normal operation.,1.0,1.0,0.0,0.0,piperPA-30
69505,20110131X11636,Accident,2011-01-30,CO,393237N,1042554W,Non-Fatal,Substantial,cirrus design corp,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,The pilot's failure to maintain control of the airplane during an instrument approach due to spatial disorientation.,1.0,1.0,100.0,0.0,cirrus design corpSR22
69506,20110202X02535,Accident,2011-01-30,OH,038257N,0082302W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,The partial loss of engine power due to carburetor icing and the pilots delayed use of carburetor heat and failure to attain the proper touchdown point on the runway during the precautionary landing.,2.0,2.0,100.0,0.0,cessna172P
69510,20110131X14558,Accident,2011-01-31,CA,034939N,1175245W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,1.0,1.0,0.0,VMC,,The flight crew's failure to maintain adequate terrain clearance while maneuvering in downdraft conditions over mountains.,2.0,2.0,50.0,0.0,cessna172
69512,20110224X33517,Accident,2011-01-31,IL,003500S,0050380W,Fatal,Destroyed,cessna,1.0,,Unknown,2.0,0.0,0.0,0.0,VMC,,,2.0,2.0,100.0,0.0,cessna182
69513,20110201X60626,Accident,2011-02-01,WA,484229N,1225438W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,"The pilots failure to properly secure the airplane prior to rotating the propeller by hand, resulting in inadvertent movement of the airplane and collision with a building.",1.0,1.0,0.0,0.0,cessna182
69522,20110206X35319,Accident,2011-02-05,ME,435039N,0070379W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,,The pilots initiation of a right turn with insufficient altitude remaining during an aborted landing resulting in a collision with the landing surface.,1.0,1.0,0.0,0.0,piperPA-12
69523,20110207X85020,Accident,2011-02-05,NV,003903N,0119457W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The pilot's loss of directional control during landing.,1.0,0.0,0.0,100.0,piperPA-28-181
69526,20110209X64231,Accident,2011-02-05,IA,011460S,0130370E,Fatal,Substantial,cessna,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,,,,1.0,1.0,100.0,0.0,cessna310R
69527,20110224X63853,Accident,2011-02-05,IL,042831S,0473249W,Fatal,Substantial,cessna,1.0,,Aerial Application,1.0,0.0,0.0,0.0,,,,1.0,1.0,100.0,0.0,cessnaA188B
69528,20110310X15506,Accident,2011-02-05,LA,301013N,0905616W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,"The flight instructor's failure to monitor the available fuel supply, which resulted in a loss of engine power due to fuel exhaustion.",2.0,0.0,0.0,100.0,cessna150L
69535,20110209X12851,Accident,2011-02-07,IL,401159N,0873544W,Non-Fatal,Substantial,beech,1.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,,The pilot's failure to maintain directional control during the landing roll.,3.0,0.0,0.0,100.0,beechA36
69536,20110210X62045,Accident,2011-02-07,CT,413019N,0724928W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,"The student pilot's loss of directional control during the landing rollout, resulting in a runway excursion.",1.0,0.0,0.0,100.0,cessna172
69538,20110210X85256,Accident,2011-02-08,IL,041325N,0873146W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilots loss of directional control during the landing.,1.0,0.0,0.0,100.0,piperPA-28-140
69545,20110210X63852,Accident,2011-02-10,NJ,405651N,0741852W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,"The pilots inadequate preflight inspection (removal of water contamination from the fuel system), which resulted in a total loss of engine power.",1.0,1.0,0.0,0.0,cessna182P
69546,20110210X90227,Accident,2011-02-10,CA,038837N,1223322W,Non-Fatal,Substantial,aeronca,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's use of a non-vented fuel cap, which resulted in a total loss of engine power due to fuel starvation.",1.0,0.0,0.0,100.0,aeronca7AC
69548,20110323X31754,Accident,2011-02-10,DA,,,Fatal,Substantial,cessna,,,Unknown,2.0,0.0,0.0,0.0,,,,2.0,2.0,100.0,0.0,cessna150
69549,20110213X31950,Accident,2011-02-11,MD,391031N,0076406W,Non-Fatal,Substantial,piper,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,1.0,VMC,,An in-flight overload failure of the left elevator inboard balance weight rib for undetermined reasons.,1.0,0.0,0.0,100.0,piperPA-31-350
69550,20110211X50626,Accident,2011-02-11,WA,484319N,1213949W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,The pilot's encounter with soft terrain during an attempted takeoff from a dry lake bed.,1.0,1.0,100.0,0.0,cessna170A
69553,20110214X34633,Accident,2011-02-12,MI,042556N,0083941W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Banner Tow,0.0,0.0,0.0,1.0,VMC,,"The loss of preload torque on a connecting rod nut and bolt, which precipitated a separation of the connecting rod from the engine's crankshaft and resulted in the total loss of engine power.",1.0,0.0,0.0,100.0,cessna150L
69554,20110214X61717,Accident,2011-02-12,MN,045343N,0932114W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,The pilot's loss of directional control during the landing.,3.0,0.0,0.0,100.0,piperPA-28-161
69555,20110214X74733,Accident,2011-02-12,IL,421143N,0089550W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain directional control of the airplane during the takeoff.,1.0,0.0,0.0,100.0,cessna172N
69558,20110215X93813,Accident,2011-02-12,AR,361035N,0009479W,Non-Fatal,Substantial,cessna,1.0,,Personal,0.0,2.0,0.0,0.0,VMC,,"The pilots improper fuel management, which resulted in a loss of engine power due to fuel exhaustion.",2.0,2.0,100.0,0.0,cessna150G
69561,20110302X42700,Accident,2011-02-13,CA,344427N,0118137W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC,,The student pilot's improper flare which resulted in a hard landing. Contributing to the accident was the certified flight instructor's delayed remedial action.,3.0,0.0,0.0,100.0,cessna172
69565,20110216X23820,Accident,2011-02-14,NY,044394N,0073285W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,The student pilot's loss of directional control during the landing flare in gusting wind conditions and the certified flight instructor's delayed remedial action.,2.0,0.0,0.0,100.0,cessna172H
69567,20110222X14949,Incident,2011-02-14,IA,,,Non-Fatal,Minor,boeing,2.0,,,0.0,0.0,0.0,216.0,,,<br /><br />,216.0,0.0,0.0,100.0,boeing737
69569,20110325X30059,Accident,2011-02-14,IN,001420S,0775559W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,2.0,2.0,0.0,VMC,,,4.0,4.0,50.0,0.0,cessna182
69572,20110216X62540,Accident,2011-02-15,AZ,034420N,0113360W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,A total loss of engine power during cruise flight resulting from the failure of a fuel line. Contributing to the accident was inadequate maintenance inspections that failed to detect the deteriorating fuel line.,2.0,0.0,0.0,100.0,cessna172H
69574,20110217X85438,Accident,2011-02-15,FL,291048N,0081329W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The pilot's inadequate flare that resulted in a hard landing.,1.0,0.0,0.0,100.0,cessna172S
69575,20110222X15822,Incident,2011-02-15,IA,,,Non-Fatal,Minor,boeing,2.0,,,0.0,0.0,0.0,226.0,,,<br /><br />,226.0,0.0,0.0,100.0,boeing737
69576,20110317X95254,Accident,2011-02-16,IA,,,Non-Fatal,Substantial,boeing,,,,0.0,0.0,0.0,278.0,,,,278.0,0.0,0.0,100.0,boeing747
69577,20110216X14239,Accident,2011-02-16,FL,028576N,0080501W,Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,,The flight instructor's failure to recognize or implement adequate remedial action to counter the effects of spatial disorientation. Contributing to the accident was the spatial disorientation experienced by one or both pilots.,2.0,2.0,100.0,0.0,cessna172S
69578,20110216X63715,Accident,2011-02-16,ID,422855N,1142916W,Non-Fatal,Substantial,piper,1.0,Reciprocating,,0.0,2.0,0.0,0.0,VMC,,"The pilots failure to compensate for the wind, which resulted in the airplane being blown over after completion of the landing roll.",2.0,2.0,100.0,0.0,piperPA18
69579,20110218X15530,Accident,2011-02-17,TN,036110N,0082250W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,A partial loss of engine power during initial climb for undetermined reasons.,1.0,0.0,0.0,100.0,cessna150H
69582,20110218X04149,Accident,2011-02-18,TX,333258N,1022220W,Fatal,Substantial,cessna,1.0,Reciprocating,Personal,2.0,0.0,2.0,0.0,VMC,,The pilots failure to maintain control of the airplane during a landing and subsequent go-around with a crosswind.,4.0,4.0,50.0,0.0,cessna182P
69585,20110223X25058,Accident,2011-02-18,PA,402243N,0755755W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"Inadequate maintenance inspection of the airplane which resulted in a shift of the shock mounted portion of the pilot's instrument panel, causing an interference of the pitch control during takeoff.",2.0,0.0,0.0,100.0,cessna177B
69590,20110310X04200,Accident,2011-02-19,IL,413629N,0088546W,Non-Fatal,Substantial,mooney,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The collapse of the left main landing gear during the landing roll for undetermined reasons.,2.0,0.0,0.0,100.0,mooneyM20J
69593,20110919X53553,Incident,2011-02-21,AO,,,Non-Fatal,,boeing,2.0,,,0.0,0.0,0.0,110.0,,,,110.0,0.0,0.0,100.0,boeing737
69596,20110228X93029,Accident,2011-02-22,IL,042651N,0087545W,Non-Fatal,Substantial,beech,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's inadequate flare, which resulted in a hard landing.",1.0,0.0,0.0,100.0,beech58
69598,20110223X03211,Accident,2011-02-23,UT,394411N,1115212W,Non-Fatal,Substantial,mooney,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The failure of the nose gear during landing for reasons that could not be determined due to postaccident damage. ,1.0,0.0,0.0,100.0,mooneyM20F
69601,20110225X34010,Accident,2011-02-23,AK,603311N,1505020W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The airplane owner improper fabrication of a fuel line, and subsequent inadequate inspection by an aviation mechanic, resulting in a loss of engine power.",2.0,0.0,0.0,100.0,piperPA-18
69605,20110224X54547,Accident,2011-02-24,MO,039540N,0094267W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,,0.0,1.0,0.0,0.0,VMC,,"Latent dimensional discrepancies related to the engine crankcase main bearing saddle bores, which precipitated the fatigue failure of the crankshaft and a complete loss of engine power. Contributing to the accident was the engine manufacturer's failure to properly identify and address the crankcase discrepancies when the engine was rebuilt.",1.0,1.0,100.0,0.0,cessnaT210M
69607,20110224X95106,Accident,2011-02-24,IN,394126N,0854126W,Fatal,Substantial,cessna,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,The pilot did not maintain control of the airplane while making a low-altitude turn during dark night conditions.,1.0,1.0,100.0,0.0,cessna421C
69609,20110225X51014,Accident,2011-02-25,TX,321952N,1023146W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,"The pilot's failure to maintain adequate airspeed during an emergency descent, following a loss of engine power, which resulted in an inadvertent stall.",1.0,1.0,0.0,0.0,cessna172N
69612,20110225X05255,Accident,2011-02-26,AZ,335410N,1115238W,Fatal,Substantial,piper,1.0,Reciprocating,Instructional,3.0,0.0,0.0,0.0,VMC,,"The pilot and flight instructor's failure to adequately monitor the flight task and environment while maneuvering to maintain sufficient altitude with rising terrain in dark night conditions and the flight instructor's improper decision to practice in an area known to have no illumination, which led to collision with a rock outcropping.",3.0,3.0,100.0,0.0,piperPA-28-181
69625,20110227X93844,Accident,2011-02-27,WV,037250N,0813126W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,,"The unlicensed pilots decision to land on a closed runway with a tailwind, his failure to attain the proper touchdown point, and his delayed decision to attempt a go-around, resulting in a collision with trees.",2.0,2.0,0.0,0.0,cessna172N
69634,20110302X64645,Accident,2011-03-02,NC,345441N,0771622W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,,"The pilot-rated passengers loss of directional control during takeoff and the pilots delayed remedial action, which resulted in a runway excursion and collision with trees.",2.0,2.0,50.0,0.0,piperJ3C-65
69639,20110303X64525,Accident,2011-03-03,GA,332515N,0842935W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's decision to land with excessive speed in gusting, tailwind conditions, resulting in a runway overrun.",1.0,0.0,0.0,100.0,cessna172L
69642,20110304X72932,Accident,2011-03-04,GA,333732N,0008595W,Non-Fatal,Substantial,beech,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,The mechanic's failure to re-connect a fuel line following an annual inspection. Contributing to the accident was the pilot's improper decision to depart with a known mechanical deficiency.,2.0,0.0,0.0,100.0,beechC23
69643,20110309X22523,Accident,2011-03-04,IN,403235N,0864053W,Non-Fatal,Substantial,aeronca,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,"The pilot's loss of directional control, resulting in a runway excursion, and the subsequent separation of the left main landing gear for undetermined reasons.",1.0,0.0,0.0,100.0,aeronca7AC
69646,20110627X32859,Accident,2011-03-04,CA,017568N,0764715W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,,,,2.0,2.0,100.0,0.0,cessna152
69648,20110306X94121,Accident,2011-03-05,NC,003562N,0755734W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,The pilots inadequate flare and failure to regain control of the airplane while attempting to recover from bounced landing.,2.0,1.0,50.0,50.0,cessna172K
69649,20110308X42511,Accident,2011-03-05,AK,062233N,0150433W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to recognize that he was landing at the wrong airstrip on a snow-covered and unplowed runway, resulting in the airplane nosing over.",1.0,0.0,0.0,100.0,cessna172R
69651,20110307X04907,Accident,2011-03-06,NV,361615N,1155942W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to extend the landing gear prior to touchdown and his improper decision to abort a gear-up landing following a propeller strike.,1.0,0.0,0.0,100.0,cessna210
69654,20110308X74123,Accident,2011-03-07,LA,295157N,0090120W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to ensure that the landing gear was retracted for the water landing.,1.0,0.0,0.0,100.0,cessnaA185F
69664,20110310X55313,Accident,2011-03-10,CA,352531N,0119225W,Non-Fatal,Substantial,cessna,1.0,Turbo Prop,,0.0,0.0,0.0,1.0,VMC,,"The malfunction of a master brake cylinder, which resulted in a loss of braking action and subsequent loss of directional control and collision with three vehicles during taxi. Contributing to the accident was the inappropriate design and manufacture of the master brake cylinders.",1.0,0.0,0.0,100.0,cessna208B
69666,20110311X24000,Accident,2011-03-10,AZ,034936N,1114337W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to maintain directional control of the airplane during takeoff, which resulted in a runway excursion and collision with terrain.",2.0,0.0,0.0,100.0,cessna180
69670,20110311X65223,Accident,2011-03-11,CA,003497N,1184247W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,The loss of engine power during cruise flight for undetermined reasons.,2.0,0.0,0.0,100.0,piperPA-28R-200
69671,20110311X65739,Accident,2011-03-11,TN,355630N,0863115W,Fatal,Substantial,cessna,2.0,Reciprocating,Flight Test,1.0,0.0,0.0,0.0,VMC,,The pilot's improper response to a known autopilot pitch divergence anomaly. Contributing to the accident was the pilot's decision to perform a test flight on a system for which he lacked a complete working knowledge.,1.0,1.0,100.0,0.0,cessna310R
69672,20110312X31146,Accident,2011-03-11,FL,281723N,0812614W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,,The pilot's failure to maintain directional control during the landing flare.,4.0,1.0,25.0,75.0,cessna182P
69676,20110313X52310,Accident,2011-03-12,CT,412842N,0007386W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,"The student pilot's inadequate landing flare and the certified flight instructor's inadequate remedial action, resulting in a hard landing.",2.0,0.0,0.0,100.0,piperPA-28-161
69677,20110314X55048,Accident,2011-03-12,PA,039544N,0080750W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain directional control during the landing roll, which resulted in a runway excursion and nose over.",1.0,0.0,0.0,100.0,cessna182T
69684,20110315X20940,Accident,2011-03-14,IA,002340N,0072380W,Fatal,Substantial,cessna,1.0,,Unknown,1.0,0.0,1.0,0.0,,,,2.0,2.0,50.0,0.0,cessna182
69688,20110316X11524,Accident,2011-03-15,AK,611229N,1495024W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain directional control while landing, resulting in a ground loop.",1.0,0.0,0.0,100.0,cessna140
69689,20110316X42841,Accident,2011-03-15,FL,295417N,0823054W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,A loss of engine power due to the failure of the camshaft gear teeth and crankshaft gear teeth for undetermined reasons.,1.0,0.0,0.0,100.0,cessna182P
69691,20110319X92612,Accident,2011-03-15,FL,273912N,0080244W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain directional control during the landing rollout.,1.0,0.0,0.0,100.0,piperPA28
69692,20110316X63443,Accident,2011-03-16,CA,033492N,0118923W,Fatal,Substantial,beech,2.0,Turbo Prop,Personal,5.0,0.0,1.0,0.0,VMC,,"The pilot's failure to maintain directional control of the airplane during a momentary interruption of power from the left engine during the initial takeoff climb. Contributing to the accident was the power interruption due to water contamination of the fuel, which was likely not drained from the fuel tanks by the pilot during preflight inspection as required in the POH.",6.0,6.0,83.33333333333334,0.0,beech200
69693,20110318X60152,Accident,2011-03-16,MN,445126N,0093158W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control of the airplane during the takeoff roll.,1.0,0.0,0.0,100.0,piperPA-22-150
69707,20110319X95723,Accident,2011-03-19,AZ,332739N,1114342W,Non-Fatal,Substantial,cirrus,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,"The pilot's attempt to correct a landing float by adding power, followed by his premature attempt to climb the airplane out of ground effect during a balked landing, which resulted in an aerodynamic stall. Contributing to the accident was the pilot's failure to properly configure the flaps for the balked landing attempt.",3.0,0.0,0.0,100.0,cirrusSR22
69709,20110320X12948,Accident,2011-03-19,MS,302313N,0088457W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,3.0,1.0,0.0,VMC,,The airplane's overweight condition due to the pilot's improper weight and balance calculation that resulted in the airplane's inability to maintain altitude.,4.0,4.0,75.0,0.0,piperPA-28-140
69715,20110322X85332,Accident,2011-03-19,AK,613454N,1593235W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The inadvertent contact with a rut in the snow while taxiing, resulting in the collapse of the right main landing gear.",2.0,0.0,0.0,100.0,cessnaA185F
69716,20110323X30615,Accident,2011-03-19,TX,032587N,0965011W,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,"The pilots improper fuel management, which resulted in a loss of engine power due to fuel exhaustion.",1.0,1.0,100.0,0.0,cessna150M
69721,20110320X70728,Accident,2011-03-20,MA,412535N,0703315W,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,"The pilot's improper fuel management, which resulted in a total loss of engine power due to fuel exhaustion.",2.0,2.0,100.0,0.0,piperPA-32R-300
